Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
"Certain infectious and parasitic diseases (A00-B99,U07.1)",15-19 years,9 - 11 years,500 - 999 grams,28 - 364 days,13.0,1607.0,8.12 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",15-19 years,12 years,500 - 999 grams,28 - 364 days,12.0,995.0,12.09 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24 years,12 years,500 - 999 grams,28 - 364 days,14.0,2456.0,5.74 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24 years,12 years,2500 - 2999 grams,28 - 364 days,10.0,82446.0,0.12 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24 years,13 - 15 years,500 - 999 grams,28 - 364 days,16.0,1222.0,13.17 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",25-29 years,12 years,500 - 999 grams,28 - 364 days,11.0,1748.0,6.34 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",25-29 years,13 - 15 years,500 - 999 grams,28 - 364 days,10.0,1306.0,7.70 (Unreliable),2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",30-34 years,12 years,500 - 999 grams,28 - 364 days,12.0,1306.0,9.25 (Unreliable),2003
#Septicemia (A40-A41),20-24 years,12 years,500 - 999 grams,28 - 364 days,11.0,2456.0,4.52 (Unreliable),2003
#Septicemia (A40-A41),20-24 years,13 - 15 years,500 - 999 grams,28 - 364 days,11.0,1222.0,9.05 (Unreliable),2003
#Septicemia (A40-A41),25-29 years,12 years,500 - 999 grams,28 - 364 days,10.0,1748.0,5.76 (Unreliable),2003
#Septicemia (A40-A41),30-34 years,12 years,500 - 999 grams,28 - 364 days,11.0,1306.0,8.48 (Unreliable),2003
#Diseases of the circulatory system (I00-I99),20-24 years,12 years,500 - 999 grams,28 - 364 days,14.0,2456.0,5.71 (Unreliable),2003
