Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
Certain infectious and parasitic diseases,15-19,High School Incomplete,500 - 999,672 - 8736,14,1927,7.265179034769071,1999
Certain infectious and parasitic diseases,15-19,High School Incomplete,2500 - 2999,672 - 8736,11,31891,0.344924900442131,1999
Certain infectious and parasitic diseases,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Certain infectious and parasitic diseases,20-24,High School Incomplete,500 - 999,672 - 8736,15,1179,12.72264631043257,1999
Certain infectious and parasitic diseases,20-24,High School Graduate,500 - 999,672 - 8736,17,2490,6.827309236947792,1999
Certain infectious and parasitic diseases,20-24,High School Graduate,3000 - 3499,672 - 8736,13,31891,0.40763851870433665,1999
Certain infectious and parasitic diseases,25-29,High School Graduate,500 - 999,672 - 8736,13,1908,6.813417190775681,1999
Septicemia,15-19,High School Incomplete,500 - 999,672 - 8736,12,1927,6.227296315516347,1999
Septicemia,20-24,High School Graduate,500 - 999,672 - 8736,12,2490,4.819277108433735,1999
Septicemia,25-29,High School Graduate,500 - 999,672 - 8736,10,1908,5.241090146750524,1999
Diseases of the nervous system,20-24,High School Graduate,3000 - 3499,672 - 8736,14,31891,0.4389953278354395,1999
Diseases of the nervous system,25-29,Some College Education,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Other diseases of nervous system,20-24,High School Graduate,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Diseases of the circulatory system,20-24,High School Graduate,500 - 999,672 - 8736,10,2490,4.016064257028112,1999
Diseases of the circulatory system,20-24,High School Graduate,3000 - 3499,672 - 8736,11,31891,0.344924900442131,1999
Diseases of the circulatory system,20-24,Some College Education,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Diseases of the circulatory system,25-29,High School Graduate,3000 - 3499,672 - 8736,11,31891,0.344924900442131,1999
Diseases of the respiratory system,15-19,High School Incomplete,2000 - 2499,672 - 8736,11,15710,0.7001909611712285,1999
Diseases of the respiratory system,15-19,High School Incomplete,3000 - 3499,672 - 8736,20,31891,0.6271361826220564,1999
Diseases of the respiratory system,20-24,High School Incomplete,2500 - 2999,672 - 8736,13,31891,0.40763851870433665,1999
Diseases of the respiratory system,20-24,High School Incomplete,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Diseases of the respiratory system,20-24,High School Graduate,500 - 999,672 - 8736,19,2490,7.6305220883534135,1999
Diseases of the respiratory system,20-24,High School Graduate,2000 - 2499,672 - 8736,13,20741,0.6267778795622198,1999
Diseases of the respiratory system,20-24,High School Graduate,2500 - 2999,672 - 8736,15,31891,0.47035213696654227,1999
Diseases of the respiratory system,20-24,High School Graduate,3000 - 3499,672 - 8736,21,31891,0.6584929917531592,1999
Diseases of the respiratory system,20-24,High School Graduate,3500 - 3999,672 - 8736,12,31891,0.3762817095732338,1999
Diseases of the respiratory system,25-29,High School Graduate,500 - 999,672 - 8736,12,1908,6.289308176100629,1999
Diseases of the respiratory system,25-29,High School Graduate,2500 - 2999,672 - 8736,10,31891,0.3135680913110282,1999
Diseases of the respiratory system,25-29,College Graduate or Higher,500 - 999,672 - 8736,11,1192,9.228187919463087,1999
Influenza and pneumonia,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Influenza and pneumonia,20-24,High School Graduate,2000 - 2499,672 - 8736,10,20741,0.48213683043247674,1999
Influenza and pneumonia,20-24,High School Graduate,3000 - 3499,672 - 8736,11,31891,0.344924900442131,1999
Pneumonia,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,31891,0.3135680913110282,1999
Pneumonia,20-24,High School Graduate,2000 - 2499,672 - 8736,10,20741,0.48213683043247674,1999
Pneumonia,20-24,High School Graduate,3000 - 3499,672 - 8736,11,31891,0.344924900442131,1999
Other and unspecified diseases of respiratory system,20-24,High School Graduate,500 - 999,672 - 8736,12,2490,4.819277108433735,1999
Diseases of the digestive system,15-19,High School Incomplete,500 - 999,672 - 8736,21,1927,10.897768552153606,1999
Diseases of the digestive system,20-24,High School Incomplete,500 - 999,672 - 8736,13,1179,11.02629346904156,1999
Diseases of the digestive system,20-24,High School Graduate,500 - 999,672 - 8736,16,2490,6.42570281124498,1999
Diseases of the digestive system,25-29,High School Graduate,500 - 999,672 - 8736,25,1908,13.10272536687631,1999
Diseases of the digestive system,25-29,College Graduate or Higher,500 - 999,672 - 8736,10,1192,8.389261744966444,1999
Diseases of the digestive system,30-34,High School Graduate,500 - 999,672 - 8736,15,1425,10.526315789473683,1999
Diseases of the digestive system,30-34,College Graduate or Higher,500 - 999,672 - 8736,13,1512,8.597883597883598,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",15-19,High School Incomplete,500 - 999,672 - 8736,16,1927,8.303061754021796,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",20-24,High School Incomplete,500 - 999,672 - 8736,10,1179,8.481764206955047,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",20-24,High School Graduate,500 - 999,672 - 8736,13,2490,5.220883534136546,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",25-29,High School Graduate,500 - 999,672 - 8736,18,1908,9.433962264150942,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",30-34,High School Graduate,500 - 999,672 - 8736,12,1425,8.421052631578947,1999
Diseases of the genitourinary system,20-24,High School Graduate,500 - 999,672 - 8736,11,2490,4.417670682730924,1999
Renal failure and other disorders of kidney,20-24,High School Graduate,500 - 999,672 - 8736,11,2490,4.417670682730924,1999
Certain conditions originating in the perinatal period,9-15,Elementary School or Less,200 - 499,1 - 23,11,19,578.9473684210526,1999
Certain conditions originating in the perinatal period,9-15,Elementary School or Less,500 - 999,24 - 144,11,105,104.76190476190476,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,200 - 499,0 - 1,19,65,292.3076923076923,1999
