Cause of death,NICU Admission,Antibiotics for Mother,Mother's Pre-pregnancy BMI,Infant birth weight,Deaths,Births,Death rate per 1000,Year
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,Yes,Overweight 25.0-29.9,500 - 749 grams,12.0,726.0,16.56 (Unreliable),2017
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Normal 18.5-24.9,500 - 749 grams,13.0,1254.0,10.40 (Unreliable),2017
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Normal 18.5-24.9,750 - 999 grams,10.0,1701.0,5.88 (Unreliable),2017
Other and unspecified gastroenteritis and colitis of infectious origin,Yes,No,Overweight 25.0-29.9,500 - 749 grams,12.0,994.0,12.08 (Unreliable),2017
Newborn affected by incompetent cervix,No,Yes,Normal 18.5-24.9,499 grams or less,12.0,270.0,45.00 (Unreliable),2017
Newborn affected by incompetent cervix,No,Yes,Obesity I 30.0-34.9,499 grams or less,12.0,151.0,79.80 (Unreliable),2017
Newborn affected by incompetent cervix,No,Yes,Obesity II 35.0-39.9,499 grams or less,11.0,98.0,113.24 (Unreliable),2017
Newborn affected by incompetent cervix,No,No,Normal 18.5-24.9,499 grams or less,57.0,880.0,65.21,2017
Newborn affected by incompetent cervix,No,No,Overweight 25.0-29.9,499 grams or less,62.0,721.0,86.45,2017
Newborn affected by incompetent cervix,No,No,Obesity I 30.0-34.9,499 grams or less,54.0,593.0,91.66,2017
Newborn affected by incompetent cervix,No,No,Obesity II 35.0-39.9,499 grams or less,33.0,347.0,95.62,2017
Newborn affected by incompetent cervix,No,No,Extreme Obesity III > 39.9,499 grams or less,22.0,291.0,75.76,2017
Newborn affected by incompetent cervix,No,No,Unknown or Not Stated,499 grams or less,17.0,283.0,60.59 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,499 grams or less,37.0,270.0,138.17,2017
Newborn affected by premature rupture of membranes,No,Yes,Normal 18.5-24.9,500 - 749 grams,10.0,138.0,73.05 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,Yes,Overweight 25.0-29.9,499 grams or less,13.0,193.0,67.78 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,Yes,Obesity I 30.0-34.9,499 grams or less,15.0,151.0,100.46 (Unreliable),2017
Newborn affected by premature rupture of membranes,No,Yes,Obesity II 35.0-39.9,499 grams or less,11.0,98.0,112.81 (Unreliable),2017
