Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
"Certain infectious and parasitic diseases (A00-B99,U07.1)",15-19,High School Incomplete,500 - 999,28 - 364,13.0,1607,8.12,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",15-19,High School Graduate,500 - 999,28 - 364,12.0,995,12.09,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24,High School Graduate,500 - 999,28 - 364,14.0,2456,5.74,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24,High School Graduate,2500 - 2999,28 - 364,10.0,31463,0.12,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",20-24,Some College Education,500 - 999,28 - 364,16.0,1222,13.17,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",25-29,High School Graduate,500 - 999,28 - 364,11.0,1748,6.34,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",25-29,Some College Education,500 - 999,28 - 364,10.0,1306,7.7,2003
"Certain infectious and parasitic diseases (A00-B99,U07.1)",30-34,High School Graduate,500 - 999,28 - 364,12.0,1306,9.25,2003
#Septicemia (A40-A41),20-24,High School Graduate,500 - 999,28 - 364,11.0,2456,4.52,2003
#Septicemia (A40-A41),20-24,Some College Education,500 - 999,28 - 364,11.0,1222,9.05,2003
#Septicemia (A40-A41),25-29,High School Graduate,500 - 999,28 - 364,10.0,1748,5.76,2003
#Septicemia (A40-A41),30-34,High School Graduate,500 - 999,28 - 364,11.0,1306,8.48,2003
#Diseases of the circulatory system (I00-I99),20-24,High School Graduate,500 - 999,28 - 364,14.0,2456,5.71,2003
#Diseases of the circulatory system (I00-I99),20-24,High School Graduate,2500 - 2999,28 - 364,10.0,31463,0.12,2003
#Diseases of the circulatory system (I00-I99),20-24,High School Graduate,3000 - 3499,28 - 364,12.0,31463,0.07,2003
#Diseases of the circulatory system (I00-I99),25-29,High School Graduate,500 - 999,28 - 364,12.0,1748,6.88,2003
#Diseases of the circulatory system (I00-I99),25-29,High School Graduate,3000 - 3499,28 - 364,10.0,31463,0.09,2003
"Diseases of the respiratory system (J00-J98,U04)",15-19,High School Incomplete,500 - 999,28 - 364,14.0,1607,8.75,2003
"Diseases of the respiratory system (J00-J98,U04)",15-19,High School Incomplete,1000 - 1499,28 - 364,10.0,1827,5.49,2003
"Diseases of the respiratory system (J00-J98,U04)",15-19,High School Incomplete,2000 - 2499,28 - 364,12.0,12734,0.95,2003
"Diseases of the respiratory system (J00-J98,U04)",15-19,High School Incomplete,2500 - 2999,28 - 364,15.0,31463,0.33,2003
"Diseases of the respiratory system (J00-J98,U04)",15-19,High School Incomplete,3000 - 3499,28 - 364,13.0,31463,0.16,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Incomplete,2500 - 2999,28 - 364,13.0,31463,0.29,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Incomplete,3000 - 3499,28 - 364,14.0,31463,0.17,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Incomplete,3500 - 3999,28 - 364,11.0,31463,0.23,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Graduate,500 - 999,28 - 364,18.0,2456,7.37,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Graduate,2000 - 2499,28 - 364,19.0,22116,0.86,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Graduate,2500 - 2999,28 - 364,12.0,31463,0.15,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Graduate,3000 - 3499,28 - 364,25.0,31463,0.15,2003
"Diseases of the respiratory system (J00-J98,U04)",20-24,High School Graduate,3500 - 3999,28 - 364,15.0,31463,0.14,2003
"Diseases of the respiratory system (J00-J98,U04)",30-34,High School Graduate,500 - 999,28 - 364,12.0,1306,9.23,2003
#Influenza and pneumonia (J09-J18),20-24,High School Incomplete,3000 - 3499,28 - 364,11.0,31463,0.13,2003
#Influenza and pneumonia (J09-J18),20-24,High School Graduate,2000 - 2499,28 - 364,13.0,22116,0.59,2003
